id,mx,my,kx,ky,realized_k,realized_theta_deg,cell_mass,c,phase
167,5,-11,1,-2.2,2.41660919471891,-65.5560452195835,0.276356538725591,7.91460976073204e-05,0
168,5,11,1,2.2,2.41660919471891,65.5560452195835,0.276356538725591,7.91460976073204e-05,0
169,1,-11,0.2,-2.2,2.20907220343745,-84.8055710922652,0.274216196898805,7.85331224126065e-05,0
170,1,11,0.2,2.2,2.20907220343745,84.8055710922652,0.274216196898805,7.85331224126065e-05,0
171,9,-3,1.8,-0.6,1.89736659610103,-18.434948822922,0.269240998272325,7.71082690043134e-05,0
172,9,3,1.8,0.6,1.89736659610103,18.434948822922,0.269240998272325,7.71082690043134e-05,0
173,7,-10,1.4,-2,2.44131112314674,-55.0079798014413,0.267500062284757,7.6609680151538e-05,0
174,7,10,1.4,2,2.44131112314674,55.0079798014413,0.267500062284757,7.6609680151538e-05,0
175,9,-7,1.8,-1.4,2.28035085019828,-37.8749836510982,0.264784963124112,7.58320994792192e-05,0
176,9,7,1.8,1.4,2.28035085019828,37.8749836510982,0.264784963124112,7.58320994792192e-05,0
177,8,-9,1.6,-1.8,2.40831891575846,-48.3664606634298,0.264368495820608,7.57128268830092e-05,0
178,8,9,1.6,1.8,2.40831891575846,48.3664606634298,0.264368495820608,7.57128268830092e-05,0
179,6,-11,1.2,-2.2,2.50599281722833,-61.3895403340348,0.246560123743981,7.0612664747878e-05,0
180,6,11,1.2,2.2,2.50599281722833,61.3895403340348,0.246560123743981,7.0612664747878e-05,0
181,9,-2,1.8,-0.4,1.84390889145858,-12.5288077091515,0.241742334112294,6.92328919000946e-05,0
182,9,2,1.8,0.4,1.84390889145858,12.5288077091515,0.241742334112294,6.92328919000946e-05,0
183,9,-8,1.8,-1.6,2.40831891575846,-41.6335393365702,0.236849053660156,6.78314991410491e-05,0
184,9,8,1.8,1.6,2.40831891575846,41.6335393365702,0.236849053660156,6.78314991410491e-05,0
185,3,-12,0.6,-2.4,2.4738633753706,-75.9637565320735,0.224364767210279,6.42561086021596e-05,0
186,3,12,0.6,2.4,2.4738633753706,75.9637565320735,0.224364767210279,6.42561086021596e-05,0
187,4,-12,0.8,-2.4,2.5298221281347,-71.565051177078,0.221415696886431,6.34115206333768e-05,0
188,4,12,0.8,2.4,2.5298221281347,71.565051177078,0.221415696886431,6.34115206333768e-05,0
189,8,-10,1.6,-2,2.56124969497314,-51.3401917459099,0.218996525315161,6.27186910365393e-05,0
190,8,10,1.6,2,2.56124969497314,51.3401917459099,0.218996525315161,6.27186910365393e-05,0
191,9,-1,1.8,-0.2,1.81107702762748,-6.34019174590991,0.217837411311882,6.23867309155139e-05,0
192,9,1,1.8,0.2,1.81107702762748,6.34019174590991,0.217837411311882,6.23867309155139e-05,0
193,2,-12,0.4,-2.4,2.43310501211929,-80.5376777919744,0.217033850864621,6.21565982257445e-05,0
194,2,12,0.4,2.4,2.43310501211929,80.5376777919744,0.217033850864621,6.21565982257445e-05,0
195,7,-11,1.4,-2.2,2.60768096208106,-57.5288077091515,0.21306329166228,6.10194647689668e-05,0
196,7,11,1.4,2.2,2.60768096208106,57.5288077091515,0.21306329166228,6.10194647689668e-05,0
197,5,-12,1,-2.4,2.6,-67.3801350519596,0.209577514571231,6.00211686723456e-05,0
198,5,12,1,2.4,2.6,67.3801350519596,0.209577514571231,6.00211686723456e-05,0
199,9,0,1.8,0,1.8,0,0.20836045182689,5.96726125382947e-05,0
200,9,-9,1.8,-1.8,2.54558441227157,-45,0.206297198246696,5.90817147437292e-05,0
201,9,9,1.8,1.8,2.54558441227157,45,0.206297198246696,5.90817147437292e-05,0
202,10,-5,2,-1,2.23606797749979,-26.565051177078,0.20454736372052,5.85805774272611e-05,0
203,10,5,2,1,2.23606797749979,26.565051177078,0.20454736372052,5.85805774272611e-05,0
204,10,-6,2,-1.2,2.33238075793812,-30.9637565320735,0.202843508188155,5.80926080928094e-05,0
205,10,6,2,1.2,2.33238075793812,30.9637565320735,0.202843508188155,5.80926080928094e-05,0
206,1,-12,0.2,-2.4,2.40831891575846,-85.2363583092738,0.199765498153213,5.72110929175751e-05,0
207,1,12,0.2,2.4,2.40831891575846,85.2363583092738,0.199765498153213,5.72110929175751e-05,0
208,10,-4,2,-0.8,2.1540659228538,-21.8014094863518,0.197539415754828,5.65735623724429e-05,0
209,10,4,2,0.8,2.1540659228538,21.8014094863518,0.197539415754828,5.65735623724429e-05,0
210,10,-7,2,-1.4,2.44131112314674,-34.9920201985587,0.193298867933472,5.5359106534614e-05,0
211,10,7,2,1.4,2.44131112314674,34.9920201985587,0.193298867933472,5.5359106534614e-05,0
212,6,-12,1.2,-2.4,2.68328157299975,-63.434948822922,0.191343164926596,5.47990102843608e-05,0
213,6,12,1.2,2.4,2.68328157299975,63.434948822922,0.191343164926596,5.47990102843608e-05,0
214,10,-3,2,-0.6,2.08806130178211,-16.6992442339936,0.183345401450867,5.25085207174796e-05,0
215,10,3,2,0.6,2.08806130178211,16.6992442339936,0.183345401450867,5.25085207174796e-05,0
216,8,-11,1.6,-2.2,2.72029410174709,-53.9726266148964,0.179625049329994,5.14430443822714e-05,0
217,8,11,1.6,2.2,2.72029410174709,53.9726266148964,0.179625049329994,5.14430443822714e-05,0
218,10,-8,2,-1.6,2.56124969497314,-38.6598082540901,0.178111235689637,5.10095013849119e-05,0
219,10,8,2,1.6,2.56124969497314,38.6598082540901,0.178111235689637,5.10095013849119e-05,0
220,9,-10,1.8,-2,2.69072480941474,-48.0127875041833,0.176287788948933,5.04872821735009e-05,0
221,9,10,1.8,2,2.69072480941474,48.0127875041833,0.176287788948933,5.04872821735009e-05,0
222,7,-12,1.4,-2.4,2.77848879788996,-59.7435628364707,0.169516305475688,4.85479884828531e-05,0
223,7,12,1.4,2.4,2.77848879788996,59.7435628364707,0.169516305475688,4.85479884828531e-05,0
224,3,-13,0.6,-2.6,2.66833281282527,-77.0053832080835,0.167366271500711,4.79322375415971e-05,0
225,3,13,0.6,2.6,2.66833281282527,77.0053832080835,0.167366271500711,4.79322375415971e-05,0
226,4,-13,0.8,-2.6,2.72029410174709,-72.8972710309476,0.166993466786769,4.78254695294697e-05,0
227,4,13,0.8,2.6,2.72029410174709,72.8972710309476,0.166993466786769,4.78254695294697e-05,0
228,10,-2,2,-0.4,2.03960780543711,-11.3099324740202,0.1662645431298,4.7616712164188e-05,0
229,10,2,2,0.4,2.03960780543711,11.3099324740202,0.1662645431298,4.7616712164188e-05,0
230,2,-13,0.4,-2.6,2.63058928759318,-81.2538377374448,0.161060178541006,4.61262276269729e-05,0
231,2,13,0.4,2.6,2.63058928759318,81.2538377374448,0.161060178541006,4.61262276269729e-05,0
232,5,-13,1,-2.6,2.78567765543682,-68.9624889745782,0.160551238657108,4.59804716918574e-05,0
233,5,13,1,2.6,2.78567765543682,68.9624889745782,0.160551238657108,4.59804716918574e-05,0
234,10,-9,2,-1.8,2.69072480941474,-41.9872124958167,0.159769404178729,4.57565611297121e-05,0
235,10,9,2,1.8,2.69072480941474,41.9872124958167,0.159769404178729,4.57565611297121e-05,0
236,10,-1,2,-0.2,2.00997512422418,-5.71059313749964,0.152341852100119,4.36293751238803e-05,0
237,10,1,2,0.2,2.00997512422418,5.71059313749964,0.152341852100119,4.36293751238803e-05,0
238,6,-13,1.2,-2.6,2.86356421265527,-65.2248594311681,0.149377701704103,4.27804683542137e-05,0
239,6,13,1.2,2.6,2.86356421265527,65.2248594311681,0.149377701704103,4.27804683542137e-05,0
240,9,-11,1.8,-2.2,2.84253408071038,-50.7105931374996,0.148697496444662,4.25856635122331e-05,0
241,9,11,1.8,2.2,2.84253408071038,50.7105931374996,0.148697496444662,4.25856635122331e-05,0
242,1,-13,0.2,-2.6,2.60768096208106,-85.6012946450045,0.148472682497348,4.25212787623745e-05,0
243,1,13,0.2,2.6,2.60768096208106,85.6012946450045,0.148472682497348,4.25212787623745e-05,0
244,10,0,2,0,2,0,0.146976525904467,4.2092792589107e-05,0
245,8,-12,1.6,-2.4,2.88444102037119,-56.3099324740202,0.146584678172838,4.19805708231313e-05,0
246,8,12,1.6,2.4,2.88444102037119,56.3099324740202,0.146584678172838,4.19805708231313e-05,0
247,11,-6,2.2,-1.2,2.50599281722833,-28.6104596659652,0.145884240365967,4.17799715563793e-05,0
248,11,6,2.2,1.2,2.50599281722833,28.6104596659652,0.145884240365967,4.17799715563793e-05,0
249,11,-5,2.2,-1,2.41660919471891,-24.4439547804165,0.144608504701977,4.14146120108846e-05,0
250,11,5,2.2,1,2.41660919471891,24.4439547804165,0.144608504701977,4.14146120108846e-05,0
251,11,-7,2.2,-1.4,2.60768096208106,-32.4711922908485,0.142107566074244,4.06983650436397e-05,0
252,11,7,2.2,1.4,2.60768096208106,32.4711922908485,0.142107566074244,4.06983650436397e-05,0
253,10,-10,2,-2,2.82842712474619,-45,0.140404425336241,4.02106004200467e-05,0
254,10,10,2,2,2.82842712474619,45,0.140404425336241,4.02106004200467e-05,0
255,11,-4,2.2,-0.8,2.34093998214392,-19.9831065219,0.138317871708403,3.96130296954554e-05,0
256,11,4,2.2,0.8,2.34093998214392,19.9831065219,0.138317871708403,3.96130296954554e-05,0
257,7,-13,1.4,-2.6,2.95296461204668,-61.6992442339936,0.135133151295778,3.87009536005961e-05,0
258,7,13,1.4,2.6,2.95296461204668,61.6992442339936,0.135133151295778,3.87009536005961e-05,0
259,11,-8,2.2,-1.6,2.72029410174709,-36.0273733851036,0.134182573270201,3.84287163611856e-05,0
260,11,8,2.2,1.6,2.72029410174709,36.0273733851036,0.134182573270201,3.84287163611856e-05,0
261,11,-3,2.2,-0.6,2.28035085019828,-15.2551187030578,0.128398138141349,3.67721046905427e-05,0
262,11,3,2.2,0.6,2.28035085019828,15.2551187030578,0.128398138141349,3.67721046905427e-05,0
263,4,-14,0.8,-2.8,2.91204395571221,-74.0546040990772,0.127698166377904,3.65716388945552e-05,0
264,4,14,0.8,2.8,2.91204395571221,74.0546040990772,0.127698166377904,3.65716388945552e-05,0
