kph,case_id,case_label,J,raw_relative_l2,raw_relative_l2_pct,raw_relative_linf,low_output_relative_l2_pct,resolved_output_relative_l2_pct,norm_ratio,fft_ifft_count,pointwise_product_count,matlab_release
4,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",5,0.00283541740814345,0.283541740814345,0.00391041811903079,2.36764298763194e-16,0.283541740814345,0.9978437089519,55,36,2022b
4,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",6,0.000815291358849995,0.0815291358849995,0.00115265677228441,2.84456052223401e-16,0.0815291358849995,0.999447569005141,65,43,2022b
4,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",7,0.000241058711454027,0.0241058711454027,0.000347019378637446,4.67616193249305e-16,0.0241058711454027,0.999855537546082,75,50,2022b
4,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",8,7.28951434537576e-05,0.00728951434537576,0.000106539486951915,7.45842623936691e-16,0.00728951434537577,0.999961412491152,85,57,2022b
4,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",9,2.24653082968254e-05,0.00224653082968254,3.32977500999375e-05,4.75231515590899e-16,0.00224653082968254,0.999989480026018,95,64,2022b
4,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",10,7.04128697630084e-06,0.000704128697630084,1.05769702789497e-05,7.05069911680505e-16,0.000704128697630084,0.999997077071813,105,71,2022b
4,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",11,2.24111806577834e-06,0.000224111806577834,3.4084008311109e-06,2.81200404023314e-16,0.000224111806577834,0.999999173859528,115,78,2022b
4,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",12,7.23656307278309e-07,7.23656307278309e-05,1.11238752661943e-06,3.63414206691139e-16,7.23656307278309e-05,0.99999976293049,125,85,2022b
4,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",1,0.511350740588883,51.1350740588883,0.65258859871489,5.92830223168338e-16,51.1350740588883,0.640455086964265,15,8,2022b
4,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",2,0.142859329024609,14.2859329024609,0.196848207121281,4.08258671023631e-16,14.2859329024609,0.886030388717361,25,15,2022b
