abs_kx_over_k0,abs_kx_depth,mf12_eta20_spectrum_scaled,gl12_eta20_spectrum_scaled,r2_eta20_spectrum_scaled,r4_eta20_spectrum_scaled,r6_eta20_spectrum_scaled
7.6,7.6,8.25064006772269e-20,7.54385224385485e-20,2.58032429579198e-20,5.59434511681235e-20,1.07743123614554e-19
7.7,7.7,4.5423758334114e-20,1.98346892811577e-20,2.39727433030713e-19,6.91376541572788e-20,7.24326693251756e-20
7.8,7.8,1.02953612069185e-19,2.56394719646201e-19,1.55986882373338e-19,2.07943668853005e-19,1.34552043552019e-19
7.9,7.9,2.34995034905681e-19,2.69775813154503e-19,4.31734626744588e-19,2.85364202039066e-19,1.36331053267272e-19
8,8,2.58307651691754e-19,2.08479217241162e-19,1.7400263865736e-19,7.29614965765538e-20,9.57760772051207e-20
8.1,8.1,1.55269021572643e-19,3.5122353380563e-19,2.72240922950342e-19,1.34934612842804e-19,2.7321301629896e-19
8.2,8.2,2.31621507564984e-19,1.62076721390279e-19,5.2706961198491e-20,8.53249673930024e-20,1.82066959221575e-19
8.3,8.3,1.29471417340231e-19,1.79204236150826e-19,7.63060219908912e-20,8.39991616360669e-20,6.58654265998783e-20
8.4,8.4,1.53386651649947e-19,1.24795444931954e-19,4.4600125516397e-20,1.21673859858662e-19,5.20877916088515e-20
8.5,8.5,1.73877676031203e-19,1.2191148046615e-19,1.05706619507253e-19,4.65446274684922e-20,1.30969163648505e-19
8.6,8.6,4.64294719496856e-20,1.3335787569322e-19,1.12818842816434e-19,9.61049317122478e-20,1.98092083447696e-19
8.7,8.7,1.26214505913365e-19,1.84916971626379e-19,3.72837537496513e-20,1.48072620937803e-19,3.49940099743672e-19
8.8,8.8,1.95828292398594e-19,6.81773047728282e-20,5.23745691157322e-20,1.05176747514731e-19,5.7513569581831e-20
8.9,8.9,1.72145022792217e-19,2.25783702105952e-19,5.57355214252892e-20,1.45729683658617e-19,3.12190576353885e-19
9,9,9.97407190532035e-20,2.08556667740473e-19,4.3888503259576e-20,2.26740282327669e-19,2.53686924356959e-19
9.1,9.1,8.37876430568736e-20,1.43440022697409e-19,9.88558168906024e-20,1.23004205196927e-19,1.05062070147943e-19
9.2,9.2,1.96780556000367e-19,4.48255883956911e-20,1.45297522875933e-19,8.9414422526898e-20,7.89015640015683e-20
9.3,9.3,1.05438224881311e-19,1.17663258884628e-19,2.09623708488814e-19,2.00380565481045e-19,1.5184096888878e-19
9.4,9.4,1.13121578721559e-19,9.08074939909176e-20,1.19365328081645e-19,5.28180057851209e-20,1.87497929445647e-19
9.5,9.5,1.15094116646544e-19,3.08999870680001e-19,1.02881978872886e-19,2.55954280662986e-19,2.93150900825454e-19
9.6,9.6,1.0842021724855e-19,4.4909124419787e-20,2.00334439252726e-19,0,1.0842021724855e-19
9.7,9.7,2.31299572329293e-19,3.55697048240102e-19,1.55005873374227e-19,2.66676460875357e-19,1.99627002153679e-19
9.8,9.8,3.49319168302676e-19,1.80955484434e-20,1.35890164400355e-20,8.15183964986974e-20,3.25887913288052e-20
9.9,9.9,1.39126948249744e-19,1.25929761118789e-19,1.93392387864831e-19,1.43613964274391e-19,1.25174890449027e-19
