x_over_lambda_p,mf12_phi_s33_scaled,pure_gl6_phi_s33_scaled,pure_gl8_phi_s33_scaled,pure_gl10_phi_s33_scaled,pure_gl6_difference_pct_of_mf12_peak,pure_gl8_difference_pct_of_mf12_peak,pure_gl10_difference_pct_of_mf12_peak
-1.984375,-7.17437058051759e-05,-6.82085972576661e-05,-7.12749450096166e-05,-7.26270278850499e-05,0.000543979778517664,7.21325499115842e-05,-0.000135924920808478
-1.96875,-7.34223421871748e-05,-6.98062700382706e-05,-7.30347341936865e-05,-7.44088534137318e-05,0.000556438395095519,5.96448192794432e-05,-0.000151803587164452
-1.953125,-7.51990525534481e-05,-7.15078240837804e-05,-7.48990802985065e-05,-7.62906739179835e-05,0.000568003391806001,4.61594993793054e-05,-0.000167977854180299
-1.9375,-7.7025018856086e-05,-7.32828536860483e-05,-7.68295210872267e-05,-7.8229174308177e-05,0.000575841491998214,3.00830459872912e-05,-0.000185294512834885
-1.921875,-7.88209749460289e-05,-7.50726708819745e-05,-7.87576615720149e-05,-8.01506063003421e-05,0.000576786140277788,9.74261319291071e-06,-0.000204602647955173
-1.90625,-8.04867059722551e-05,-7.67958391828224e-05,-8.05923030780859e-05,-8.19589172072256e-05,0.00056794773673021,-1.62492012536352e-05,-0.000226542730093717
-1.890625,-8.19186595003055e-05,-7.83615774605692e-05,-8.22347017542156e-05,-8.35520630857869e-05,0.000547361042564873,-4.8632338434228e-05,-0.000251346884747297
-1.875,-8.30312055065257e-05,-7.96876778079097e-05,-8.35981153422078e-05,-8.48423976997075e-05,0.000514499465155614,-8.7235648554854e-05,-0.000278704858665241
-1.859375,-8.3774480135834e-05,-8.07170137597298e-05,-8.46251926397811e-05,-8.57744084114344e-05,0.0004704805693364,-0.00013090698439949,-0.000307747421554772
-1.84375,-8.41420792109651e-05,-8.14266023247796e-05,-8.52968042519127e-05,-8.63332142571635e-05,0.000417855490224641,-0.00017768819926787,-0.000337170172036995
-1.828125,-8.4165386853796e-05,-8.18258709994238e-05,-8.5628926461605e-05,-8.65404597810378e-05,0.00036000289643057,-0.000225208346789962,-0.000365474391397237
-1.8125,-8.38963532772332e-05,-8.19449454315096e-05,-8.56587261548158e-05,-8.6438997804201e-05,0.000300281135203645,-0.000271192580009532,-0.000391260180003088
-1.796875,-8.3384598303185e-05,-8.1817347500116e-05,-8.54248270168513e-05,-8.60717190724161e-05,0.000241167345578585,-0.000313948821901782,-0.000413492072803886
-1.78125,-8.26562328988433e-05,-8.14630817327706e-05,-8.49483728887199e-05,-8.54615116309685e-05,0.000183601181784223,-0.000352712734918105,-0.000431674129060825
-1.765625,-8.17008818140439e-05,-8.08776630007372e-05,-8.42209405703045e-05,-8.45986520926525e-05,0.000126676276475189,-0.000387784699015194,-0.00044590665694352
-1.75,-8.04712428420651e-05,-8.00310553335992e-05,-8.32035552047448e-05,-8.34399904949213e-05,6.77357145172307e-05,-0.000420446120371209,-0.000456828600585173
-1.734375,-7.88970543189767e-05,-7.88784373787466e-05,-8.18388027899267e-05,-8.19219201083176e-05,2.86476041314315e-06,-0.000452673987283728,-0.000465464016172976
-1.71875,-7.69124675038644e-05,-7.73821182761869e-05,-8.00752483458022e-05,-7.99862467252894e-05,-7.22694988499353e-05,-0.000486686278165117,-0.000472990777400823
-1.703125,-7.44919350805806e-05,-7.55404096512705e-05,-7.78996047306388e-05,-7.76141960174843e-05,-0.00016133845879982,-0.00052436957920454,-0.000480451106410202
-1.6875,-7.16850997878348e-05,-7.34152120622134e-05,-7.53677397695825e-05,-7.48592896987313e-05,-0.000266228343254161,-0.000566681801904654,-0.000488441896902651
-1.671875,-6.86379029436257e-05,-7.11474180000014e-05,-7.26226926396007e-05,-7.18667671954886e-05,-0.000386162242603738,-0.000613176367040527,-0.000496855142348949
-1.65625,-6.5588444428512e-05,-6.8950706591723e-05,-6.98893362794066e-05,-6.88686789418162e-05,-0.000517382310127443,-0.000661817922995939,-0.000504759958584644
-1.640625,-6.2833808826514e-05,-6.70812681772419e-05,-6.74426767879032e-05,-6.61513300518326e-05,-0.000653595771054714,-0.000709209049498569,-0.000510497609089752
