x_over_lambda_p,mf12_m3000_psi33_hat,gl6_psi33_hat,difference_pct_of_mf12_peak
0.03125,0.406887679936079,0.382813560991372,-3.70450686748344
0.046875,0.548199111904638,0.516241873566174,-4.91755520368378
0.0625,0.629405564764762,0.593536391495508,-5.51952073561244
0.078125,0.649860286561178,0.614016505735003,-5.51561336604319
0.09375,0.618092756207985,0.585540687497597,-5.00908724283524
0.109375,0.548218924133288,0.521175814637383,-4.16137284507834
0.125,0.455908934137605,0.435456828916914,-3.14715418738943
0.140625,0.355128123458314,0.341364683801574,-2.11790748586459
0.15625,0.256290104684691,0.248613735544626,-1.18123376652011
0.171875,0.165834740037119,0.16325875918877,-0.396389947442376
0.1875,0.0868232045503095,0.0882424849245612,0.218397770044082
0.203125,0.0200081972753854,0.0243812792332182,0.672926481009265
0.21875,-0.0350766083023968,-0.0286329942545545,0.991538363105633
0.234375,-0.0792821655852022,-0.0714685284026726,1.20235646709179
0.25,-0.113364046013207,-0.104718179920895,1.33041921026798
0.265625,-0.137834477198336,-0.12877187669371,1.39454598042626
0.28125,-0.153056979895241,-0.14391277241161,1.40710359945495
0.296875,-0.159465644057137,-0.150525957652624,1.37563205344006
0.3125,-0.157789370018273,-0.149306799418629,1.3052914257202
0.328125,-0.149183690740552,-0.141377520359666,1.2012074814101
0.34375,-0.135217455138241,-0.128263791745175,1.0700243632153
0.359375,-0.11771895950225,-0.111738126112847,0.920326032084644
0.375,-0.0985371838861952,-0.093585266096391,0.761997292680848
0.390625,-0.0792992893100046,-0.0753680850304354,0.604930684466309
0.40625,-0.0612371601569699,-0.0582632053125607,0.457629879207781
0.421875,-0.0451213125743233,-0.0430015760516264,0.326183422272771
0.4375,-0.0312985874477071,-0.0299088197295539,0.213856385271266
0.453125,-0.0197990637048063,-0.0190108176535379,0.121294694808878
0.46875,-0.0104665763182369,-0.010160103791748,0.0471597561547639
0.484375,-0.00307402259438238,-0.00314584818179683,-0.0110524660299712
0.5,0.002599206661703,0.00223381865835511,-0.0562256243232506
0.515625,0.00673341529703789,0.0061419368304731,-0.0910162505382009
0.53125,0.00947142060466486,0.00870786295095244,-0.11749566322215
0.546875,0.0109437208348448,0.0100531100472943,-0.137046501527783
0.5625,0.0112993522811372,0.010321505764195,-0.150470268327469
0.578125,0.0107276410400846,0.00969939300967316,-0.158226014371876
0.59375,0.00946154493477006,0.00841720402404433,-0.160702374390656
0.609375,0.00776109841701584,0.00673150732013193,-0.158432684405464
0.625,0.00588319335050327,0.00489413130738271,-0.152196104851138
0.640625,0.00404869532405792,0.00311942745242342,-0.142995023830712
0.65625,0.00241792256381143,0.00156048619465126,-0.131941647595886
0.671875,0.00108121762447352,0.000300677853602616,-0.120108858321108
0.6875,6.51260570395055e-05,-0.000639308738988803,-0.108397883452137
0.703125,-0.000650490442167392,-0.00128381659291988,-0.0974557399258559
0.71875,-0.00111136400839226,-0.00168097759595497,-0.0876516998102613
0.734375,-0.00137000535078776,-0.00188407283063487,-0.0791043075685335
0.75,-0.0014729426979908,-0.00193916606392912,-0.0717420921972951
0.765625,-0.00145504836961952,-0.00187992576426052,-0.0653798060025018
0.78125,-0.00133991840192605,-0.00172849540597171,-0.059793929877122
0.796875,-0.00114412331169537,-0.00150014346470603,-0.0547841067338634
0.8125,-0.000882767407665118,-0.00120906971332618,-0.0502111472894782
0.828125,-0.000574002050278162,-0.000872989710928642,-0.0460079907686947
0.84375,-0.000240859349584425,-0.000514885634661068,-0.0421669535349959
0.859375,9.00949269343758e-05,-0.000161482682220064,-0.0387125685869645
0.875,0.000392540842835557,0.000160723877041172,-0.0356718160177282
0.890625,0.000644963623900393,0.000430174249073012,-0.0330516234441662
0.90625,0.00083417104846563,0.000633828782822691,-0.0308285134183344
0.921875,0.000956558949864995,0.000768425137178996,-0.0289498860872903
0.9375,0.0010169523308765,0.000839261243423082,-0.0273429675774919
0.953125,0.00102577450020351,0.000857287289687532,-0.0259266820884765
0.96875,0.00099571632076181,0.000835702187043787,-0.0246228515616425
0.984375,0.000938937381856655,0.000787098664259233,-0.0233648248304104
1,0.000865360256333158,0.000721722366993592,-0.0221028876990846
1.015625,0.00078212251546971,0.000646910102828974,-0.020806381838815
1.03125,0.000693922171472671,0.000567441753274872,-0.0194627092643385
1.046875,0.000603861185968768,0.000486407168512703,-0.0180737336755241
1.0625,0.000514393267177534,0.000406187650184919,-0.0166505969406439
1.078125,0.000428050337617997,0.000329217165832395,-0.0152083722962348
1.09375,0.000347735191508565,0.000258301915324139,-0.01376192360633
1.109375,0.00027652744388082,0.000196440326775887,-0.0123237438509629
1.125,0.000217132836847876,0.000146274127441562,-0.0109036835873249
1.140625,0.000171246753197018,0.000109446357444581,-0.00950979726418764
1.15625,0.000139128548040456,8.61692287485652e-05,-0.00814933923291909
1.171875,0.000119572922515373,7.51924531124107e-05,-0.00682923242437349
1.1875,0.000110275696218982,7.41703574438414e-05,-0.00555586170162765
1.203125,0.000108426598651526,8.02584141916743e-05,-0.00433449851335088
1.21875,0.000111300287241205,9.07072645768207e-05,-0.00316883845500936
1.234375,0.000116667759960135,0.000103274102596513,-0.00206100567161859
1.25,0.00012296061232453,0.00011638349644976,-0.00101208152133346
1.265625,0.000129222069177969,0.000129072966494634,-2.29438059870372e-05
1.28125,0.000134931720776154,0.000140812339107285,0.000904905016161175
1.296875,0.000139795466092469,0.000151290039274929,0.00176877606158793
1.3125,0.000143570508982219,0.000160236888241368,0.00256460959437015
1.328125,0.000145967665371362,0.00016732966271478,0.00328716768591266
1.34375,0.000146646586007611,0.000172189792347236,0.00393056890347778
1.359375,0.000145291885455655,0.000174464962018021,0.00448913053553995
1.375,0.000141730647479945,0.000173953641487924,0.00495844948127107
1.390625,0.000136034279749599,0.000170714431964158,0.00533655509218354
1.40625,0.00012855285415057,0.000165106526409636,0.00562485091256992
1.421875,0.000119860477868273,0.000157737701397641,0.00582851796188371
1.4375,0.000110631913750578,0.000149338567122009,0.00595614998667668
1.453125,0.000101500671871988,0.000140613305997988,0.00601862199226998
1.46875,9.29514002316392e-05,0.000132121477770223,0.00602746134032242
1.484375,8.52767530682129e-05,0.000124223960222125,0.00599316621731216
1.5,7.85974822029505e-05,0.000117094664442618,0.00592391673037611
1.515625,7.29218361406069e-05,0.000110775958456959,0.00582496316503071
1.53125,6.82140778361166e-05,0.000105247974937217,0.00569874754111692
1.546875,6.44484825983007e-05,0.000100487294765297,0.00554562463844351
1.5625,6.16363107762778e-05,9.65010018184397e-05,0.00536495178473716
1.578125,5.98230610905604e-05,9.33318047617562e-05,0.00515629964842315
1.59375,5.90606296615949e-05,9.10373446814446e-05,0.00492055226040334
1.609375,5.93651103557663e-05,8.965304130388e-05,0.00466068346911707
1.625,6.06759791394306e-05,8.91530525335433e-05,0.00438203010447105
1.640625,6.28338088265083e-05,8.94258505671158e-05,0.00409196288656486
1.65625,6.55884444285148e-05,9.02766222440336e-05,0.00379899777322284
1.671875,6.863790294362e-05,9.14581183626427e-05,0.00351155715942866
1.6875,7.16850997878036e-05,9.27191906555188e-05,0.00323670969017355
1.703125,7.44919350805768e-05,9.38527451860304e-05,0.00297922653619964
1.71875,7.6912467503891e-05,9.47263163393516e-05,0.00274118132833211
1.734375,7.8897054318971e-05,9.52874539074311e-05,0.00252214205536271
1.75,8.04712428420689e-05,9.55469328497414e-05,0.00231983555841633
1.765625,8.17008818140345e-05,9.55498526480596e-05,0.0021310689574999
1.78125,8.26562328988291e-05,9.5345925987632e-05,0.00195268019160736
1.796875,8.33845983031821e-05,9.49672754566724e-05,0.0017823334327416
1.8125,8.38963532772313e-05,9.44178182816333e-05,0.00161903492519565
1.828125,8.41653868537998e-05,9.36747876622721e-05,0.00146329926679972
1.84375,8.41420792109727e-05,9.27004093372705e-05,0.00131694924328817
1.859375,8.3774480135834e-05,9.14597080867409e-05,0.00118259695350431
1.875,8.30312055065219e-05,8.99387539341172e-05,0.00106292822787302
1.890625,8.19186595003396e-05,8.81571302917297e-05,0.000959971076922046
1.90625,8.04867059722911e-05,8.61699885980794e-05,0.000874539149924385
1.921875,7.88209749460327e-05,8.40587734190029e-05,0.000805988391856773
1.9375,7.7025018856086e-05,8.19140940939115e-05,0.000752327129219829
1.953125,7.51990525534405e-05,7.98170719146435e-05,0.000710617259848244
1.96875,7.34223421871369e-05,7.78253792762713e-05,0.000677535953525282
1.984375,7.17437058051759e-05,7.59674755857785e-05,0.000649950438263163
2,7.01808798145295e-05,7.42450071511559e-05,0.000625384782032505
